1stFlrSF,BsmtFinSF1,GarageArea,GarageYrBlt,GrLivArea,LotArea,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
1742,1280,846,2008.0,2332,12474,10,1682,2007,2008
884,0,216,1960.0,1348,6000,5,884,1925,1997
1236,626,540,1935.0,2108,13728,6,1127,1935,1986
897,637,570,1994.0,1336,11040,4,637,1920,1950
4692,5644,1418,2008.0,5642,63887,10,6110,2008,2008
1344,457,484,1970.0,1344,9503,5,1024,1958,1983
832,544,552,2009.0,1935,8004,8,832,2009,2009
997,0,548,1958.0,1470,8172,4,941,1954,1972
2156,297,508,1968.0,2156,20781,7,1568,1968,2003
1728,1332,504,1963.0,1728,9100,5,1728,1963,1963
866,400,603,2005.0,1768,9803,7,866,2005,2005
1048,586,286,1956.0,1048,10152,5,1048,1956,1956
864,0,572,2004.0,1728,9313,7,864,2004,2004
938,259,0,1979.0,2358,5250,8,684,1872,1987
1146,786,438,2003.0,1146,9590,7,868,2003,2003
1601,1358,670,2001.0,1601,11423,8,1581,2001,2002
1252,57,451,1958.0,1920,13650,5,1052,1958,1958
741,0,528,1966.0,1363,7740,4,622,1910,1950
1148,210,308,1952.0,1148,6420,5,980,1952,1952
1294,0,662,2006.0,1294,6762,7,1286,2006,2006
912,324,160,1957.0,1248,9439,5,912,1930,1950
779,353,527,2002.0,1419,7750,8,408,2002,2002
1440,678,467,1981.0,1440,12546,6,1440,1981,1981
1140,0,0,1979.0,1140,17217,5,1140,2006,2006
1107,859,484,1973.0,2090,10382,7,1107,1973,1973
798,0,595,2003.0,1640,7226,7,798,2003,2003
1679,1138,575,1994.0,1679,8125,6,1408,1994,1998
869,375,440,2003.0,1218,6000,6,735,1941,1950
1142,874,528,1976.0,1142,4224,5,1142,1976,1976
1110,1097,602,1978.0,1110,9101,5,1097,1978,1978
1164,1040,240,1950.0,1164,10880,5,1164,1950,1950
596,0,189,1920.0,1192,6402,5,596,1920,1950
1422,0,626,2004.0,1422,8500,7,1422,2004,2004
894,702,450,1967.0,894,9764,5,894,1967,2003
1082,0,1043,2005.0,1953,10574,8,1082,2005,2006
963,361,564,2001.0,1792,12435,7,963,2001,2001
672,348,280,1941.0,924,12180,4,672,1941,1950
752,623,264,1984.0,752,7175,6,744,1984,1984
960,410,240,1940.0,1740,13125,7,800,1940,1984
808,0,389,1993.0,1593,9636,6,808,1992,1993
910,507,720,2000.0,1385,8520,5,910,1952,1952
1266,0,453,2005.0,1266,7500,7,1257,2005,2005
887,0,422,2006.0,2021,23257,7,868,2006,2006
1334,686,630,1977.0,1334,9650,6,1350,1977,1977
624,510,462,1999.0,1252,2160,7,600,1999,2000
1664,168,216,1916.0,2526,8520,6,714,1916,1950
2402,1767,672,2008.0,2402,15431,10,3094,2008,2008
751,0,502,1920.0,1362,6155,6,611,1920,1999
1831,1387,807,1995.0,3627,35760,10,1930,1995,1996
1214,565,721,1995.0,2520,9950,7,1203,1995,1995
944,0,528,1956.0,944,10206,3,0,1952,1952
912,842,336,1974.0,912,8521,5,912,1967,1967
756,0,615,2005.0,1553,8125,7,756,2005,2006
948,492,248,1954.0,948,10215,4,864,1954,1954
932,822,644,2009.0,1852,8640,7,900,2009,2009
682,0,440,1966.0,1230,10440,5,440,1910,1981
1080,680,0,1979.0,1080,7500,7,1080,2004,2005
686,0,280,1955.0,1250,8248,5,686,1918,1950
798,674,442,1964.0,1611,9760,6,780,1964,1964
1062,750,574,1993.0,1949,9938,7,1050,1993,1994
697,551,300,1930.0,1369,6629,6,672,1925,1950
812,0,392,1992.0,1482,9125,7,384,1992,1992
1048,0,280,1922.0,1048,6380,5,993,1922,1950
1372,0,529,2008.0,1372,8640,7,1372,2007,2008
1296,1005,471,2001.0,1296,6853,8,1267,2001,2002
990,495,299,1996.0,990,8775,5,990,1994,1994
944,0,240,1940.0,1489,9900,6,778,1940,1950
1071,0,947,2006.0,2172,14154,7,1063,2006,2006
1266,0,388,2007.0,1266,3182,7,1266,2007,2007
1218,27,676,2009.0,1218,7862,6,1218,2009,2009
932,0,306,1950.0,932,8280,6,932,1950,1950
855,257,440,1974.0,1322,2308,6,855,1974,1974
1001,0,255,1950.0,1635,5310,6,485,1910,2003
1478,1270,498,1960.0,1478,17600,6,1478,1960,1960
658,0,0,1979.0,1184,8410,5,658,1910,1996
856,706,548,2003.0,1710,8450,7,856,2003,2003
912,773,470,1978.0,912,7540,6,888,1978,1978
1160,249,538,1967.0,2126,28698,5,1013,1967,1967
754,0,400,2007.0,1394,9735,5,384,2006,2007
970,630,624,1996.0,970,8480,5,970,1963,1963
1034,539,888,1976.0,1034,12328,6,1012,1976,1976
860,0,565,2004.0,1720,11645,7,860,2004,2004
811,0,256,1954.0,1387,6000,5,811,1954,1954
1357,719,312,1959.0,1357,11512,6,1019,1959,2006
1264,697,461,1960.0,1264,9300,5,1268,1960,1960
742,0,390,2005.0,1484,12589,6,742,2005,2005
1064,495,504,1987.0,1767,5306,7,1064,1987,1987
813,0,270,1932.0,813,5684,6,813,1930,2005
520,490,0,1979.0,754,6780,6,520,1935,1982
2069,425,505,1960.0,2069,27650,7,585,1960,2007
1509,783,600,1988.0,1509,10200,6,1461,1988,1989
702,0,343,1994.0,1481,8125,6,702,1994,1995
960,789,576,1970.0,960,9873,4,960,1970,1970
1040,0,420,1950.0,1040,7200,4,0,1950,1950
1040,0,420,1956.0,1040,7200,4,0,1949,1950
901,352,216,1920.0,1802,7588,7,793,1920,1950
1184,64,550,2007.0,2610,9000,8,1184,2007,2007
1466,176,528,1959.0,1466,17755,5,1466,1959,1959
966,686,416,1961.0,1652,10800,5,686,1915,1950
1080,50,678,1993.0,2097,11228,7,1080,1993,1993
1625,1573,538,2006.0,1625,4750,8,1573,2006,2007
1304,603,667,1953.0,2287,15593,7,1304,1953,1953
1734,0,1020,2009.0,2822,13891,9,1734,2008,2009
1022,695,390,2000.0,2054,12224,6,992,2000,2000
1336,841,375,1953.0,1336,15750,5,1165,1953,1953
894,552,400,1999.0,894,9450,4,894,1954,1954
1719,1619,473,1993.0,1719,10846,8,1719,1993,1993
1223,1000,525,1994.0,2127,10944,7,1223,1994,1994
1251,553,461,1964.0,1251,8800,6,1251,1964,1964
912,111,297,1958.0,912,7535,5,912,1958,1985
600,0,0,1979.0,968,5925,3,600,1910,1950
941,483,613,2003.0,1829,9548,7,941,2003,2003
790,712,566,1976.0,1574,18800,6,796,1976,1976
720,495,0,1979.0,720,7879,4,720,1920,1950
1980,1447,770,2004.0,1980,16737,9,1980,2004,2005
1621,213,440,1984.0,1621,14145,7,1208,1984,1998
1602,1246,529,1977.0,1602,16635,6,1602,1977,2000
1149,370,216,1926.0,1616,5400,6,1149,1926,2004
1600,1277,319,1957.0,1600,16321,5,1484,1957,1997
1378,0,583,1972.0,2119,10448,6,689,1972,1972
970,0,380,2004.0,1709,2522,7,970,2004,2004
2110,1065,522,1968.0,2110,11160,7,2110,1968,1968
774,544,0,1979.0,774,4270,3,544,1931,2006
796,0,0,1979.0,796,3636,4,796,1922,1950
1707,0,511,1981.0,1707,16669,8,1686,1981,1981
1610,1288,789,2007.0,2161,10562,8,1582,2007,2007
909,0,512,1996.0,1716,8750,7,880,1996,1996
1362,288,504,1961.0,1362,10197,6,1362,1961,1961
882,706,546,1998.0,1796,9531,6,794,1998,1998
1652,1480,482,2008.0,1652,5587,8,1600,2008,2008
832,624,324,1930.0,1482,9000,7,650,1920,1988
1015,489,450,1925.0,1015,6120,5,768,1925,1950
958,403,240,1941.0,1578,9490,6,806,1941,1950
1086,320,490,1989.0,1086,10200,5,1086,1954,2003
672,0,0,1979.0,1218,1680,6,672,1971,1971
860,672,528,1996.0,860,8740,5,840,1982,1982
792,0,0,1979.0,1140,8800,4,576,1910,2004
851,0,270,1931.0,1502,7200,7,776,1931,2000
1165,312,490,1966.0,1165,9020,6,1127,1966,1966
860,625,440,2002.0,1960,7851,6,860,2002,2002
1153,252,541,1998.0,2031,11404,7,1153,1998,1999
689,378,299,1977.0,1392,10900,6,689,1977,1977
1541,1201,532,2005.0,1541,12182,7,1541,2005,2005
1327,405,624,1974.0,1327,7388,5,1063,1959,2002
757,672,240,1936.0,1324,6000,4,672,1936,1950
811,550,434,1975.0,1552,11475,6,713,1975,1975
1453,482,750,1990.0,2810,9572,8,1453,1990,1990
1518,0,840,1993.0,3608,22950,10,1107,1892,1993
1328,967,308,1959.0,1328,16905,5,1350,1959,1959
1238,965,628,1989.0,2519,26178,7,1210,1989,1990
997,0,0,1979.0,1517,8500,5,793,1919,2005
1057,731,246,1953.0,1057,7922,5,1057,1953,2007
1496,1441,612,1983.0,2132,12327,8,1496,1983,2009
1629,1300,808,2002.0,1629,14536,8,1616,2002,2003
1188,1000,531,1959.0,1188,12160,5,1188,1959,1959
1464,929,754,2007.0,1464,15256,8,1485,2007,2007
1216,897,402,1998.0,1216,4500,6,1216,1998,1998
1634,0,866,2006.0,1634,11428,8,1626,2006,2006
672,0,576,2003.0,924,8064,5,672,1949,2006
1060,188,270,1968.0,1060,8246,5,1060,1968,2001
804,556,440,1976.0,1548,2308,6,804,1976,1976
438,290,246,1930.0,438,8400,2,290,1920,1950
747,0,220,1945.0,747,4608,4,747,1945,1950
892,432,288,1967.0,892,7150,5,892,1967,1967
1190,803,540,1962.0,1190,7728,5,1106,1962,1962
1394,609,514,1963.0,1394,9500,6,1394,1963,1963
960,0,400,1952.0,1960,7596,5,960,1952,1952
848,659,420,2003.0,848,4435,6,848,2003,2003
1339,1053,484,1990.0,1339,8049,7,1309,1990,1990
784,0,360,1950.0,784,9000,6,784,1928,1950
948,0,300,1968.0,948,8978,5,948,1968,1968
1178,1084,439,1973.0,1178,10000,5,1176,1973,2000
1005,694,490,1999.0,1983,10762,7,978,1999,1999
1728,1606,560,1976.0,1728,9297,5,1728,1976,1976
764,0,504,1965.0,764,5232,5,680,1925,2004
526,462,297,1973.0,988,1596,4,462,1973,1973
612,294,528,2009.0,1224,3000,6,612,2009,2009
483,0,288,1972.0,987,1680,6,483,1972,1972
933,642,493,1994.0,1908,8750,7,915,1994,1995
1144,739,596,1956.0,1144,9571,5,1144,1956,1956
1032,605,564,1978.0,1032,10395,6,1032,1978,1978
1164,831,521,1988.0,2060,10029,6,1151,1988,1989
1114,646,576,2004.0,1114,13695,5,1114,2004,2004
1724,528,480,1967.0,1724,17871,6,1680,1967,1976
672,317,264,1972.0,1218,1680,6,672,1972,1972
841,0,294,1950.0,841,8400,4,721,1950,1950
1088,0,461,1987.0,1088,3696,8,1074,1986,1986
864,646,336,1978.0,864,7000,5,864,1978,2005
1826,1422,758,2005.0,1826,11302,8,1814,2005,2006
581,0,288,1935.0,1111,7200,5,530,1920,1996
912,595,576,1992.0,912,8872,5,912,1965,2008
1164,524,671,1999.0,2270,11764,8,1152,1999,2007
923,658,264,1984.0,923,6951,5,876,1984,1985
910,0,414,1953.0,910,8892,5,105,1953,1996
1040,0,400,1987.0,1040,8544,3,0,1950,1950
840,315,338,1967.0,1374,5400,4,840,1920,1950
2121,0,732,2007.0,2121,14450,9,2121,2006,2007
847,0,434,2004.0,1959,11796,7,847,2004,2005
1067,0,576,1995.0,1539,6120,5,927,1936,1950
1268,540,244,1954.0,1268,7800,5,1268,1954,1954
960,250,308,1997.0,960,6000,4,960,1920,1950
1097,0,672,1995.0,1097,10859,5,1097,1994,1995
880,390,320,1914.0,1768,10800,7,880,1914,1970
1112,120,271,1950.0,1668,9600,6,856,1950,2005
1392,0,576,1968.0,1392,13560,6,1392,1968,1968
825,0,280,1939.0,1412,6000,6,780,1939,1950
1630,0,860,2008.0,1630,10226,8,1622,2008,2008
1241,1106,569,2007.0,1241,4274,7,1241,2006,2007
768,619,624,1987.0,768,7244,5,768,1970,1970
1640,728,924,1993.0,1640,14778,6,1296,1954,2006
1419,945,567,2007.0,1419,8089,8,1419,2007,2007
1200,1200,0,1979.0,1200,10800,5,1200,1987,1988
725,626,484,1972.0,1479,7472,7,725,1972,2004
1414,528,601,1990.0,1414,11029,6,1184,1958,2002
624,0,513,1916.0,1344,4571,5,624,1916,1950
1547,0,672,1979.0,2320,14762,5,0,1948,1950
788,266,0,1979.0,788,7446,4,788,1941,1950
855,311,440,1978.0,1441,2289,6,855,1978,1978
864,612,300,2008.0,864,9100,6,864,1959,1959
864,616,528,1974.0,864,9000,4,864,1971,1971
1776,0,888,1968.0,1776,11475,5,1584,1958,1958
1056,775,304,1968.0,1056,8450,5,1056,1968,1968
904,350,0,1979.0,904,10020,1,683,1922,1950
1478,578,484,2009.0,1478,4403,7,1470,2009,2009
840,0,379,1915.0,1605,5790,3,840,1915,1950
882,633,588,1999.0,1790,9179,7,873,1999,1999
1088,381,484,1976.0,1868,10304,5,780,1976,1976
672,356,264,1973.0,1218,1890,6,672,1973,1973
2084,1636,1220,2007.0,2084,14803,10,2078,2007,2008
855,566,440,1976.0,1456,2280,6,855,1976,1976
1256,830,276,1965.0,1256,9937,5,1256,1965,1965
807,457,393,2002.0,1509,7861,6,783,2002,2003
1436,774,180,1945.0,2320,7259,6,1028,1945,2002
1370,1128,864,1918.0,2624,22420,6,1370,1918,1950
780,0,544,1979.0,1375,9000,6,780,1937,1950
1095,513,264,1958.0,1095,10382,6,588,1958,1958
1272,1084,0,1979.0,2200,8777,5,1272,1900,2003
1494,922,530,2002.0,1494,12803,7,1494,2002,2002
796,0,384,1950.0,1346,11767,4,560,1910,2000
990,588,0,1979.0,990,8070,4,990,1994,1995
1307,0,360,1908.0,2358,45600,6,907,1908,1997
833,415,326,1955.0,833,5400,5,833,1954,2000
1133,0,642,2005.0,2482,12665,8,1094,2005,2006
1038,0,878,2005.0,2098,10240,8,1030,2005,2005
899,450,288,1967.0,899,7800,5,864,1967,2004
1182,998,736,2005.0,2324,11924,9,1175,2005,2006
894,777,600,1985.0,894,7200,5,894,1972,1972
1575,430,529,1992.0,1575,8012,6,1575,1992,1992
848,697,420,2004.0,848,4426,6,848,2004,2004
815,0,225,1916.0,1690,8850,7,815,1916,1950
925,548,336,1977.0,1475,2665,5,757,1977,1977
1362,20,460,2005.0,1362,7577,6,1362,2005,2006
1456,0,400,2003.0,1456,3196,8,1273,2003,2003
1392,57,576,2006.0,2462,19378,7,1392,2005,2006
983,400,483,1963.0,1796,7056,6,780,1963,1963
842,0,250,1925.0,1472,9600,5,702,1925,1994
1604,1334,660,2006.0,1604,8814,7,1604,2006,2006
1619,1249,529,1965.0,1786,164660,5,1499,1965,1965
1661,831,377,1955.0,1661,9600,6,992,1955,1996
630,509,286,1970.0,630,1477,4,630,1970,1970
2020,1436,900,2009.0,2020,12220,10,2006,2009,2009
810,643,528,2001.0,1665,8400,8,810,2001,2001
1836,24,484,2004.0,1836,9100,7,1860,2004,2005
1378,0,432,1985.0,2372,6600,5,994,1892,1965
1301,405,440,1965.0,1301,6911,5,1145,1924,1950
1240,0,826,2006.0,1240,8556,7,1240,2006,2006
1244,777,336,1957.0,1244,11988,6,1244,1957,1957
1795,0,534,2002.0,1795,9742,8,1777,2002,2002
1167,560,400,1992.0,1167,9248,6,1158,1992,1992
1578,0,840,2008.0,1578,9262,8,1573,2008,2009
993,0,431,2002.0,1908,14191,8,967,2002,2002
1088,0,0,1979.0,1198,5586,6,901,1920,1998
1976,1350,908,2006.0,1976,14977,8,1976,2006,2007
810,0,210,1940.0,1328,9906,4,686,1925,1950
1268,196,252,1978.0,1268,9286,5,1268,1977,1989
625,0,625,2006.0,1250,4017,7,625,2006,2007
1664,0,0,1979.0,1664,9825,5,0,1965,1965
708,404,776,1968.0,1416,11700,6,708,1968,1968
1260,1046,506,1900.0,2291,7200,6,1214,1910,1998
1710,0,550,2004.0,1710,12118,7,1710,2004,2005
616,616,205,1921.0,616,6000,5,616,1921,1950
1050,915,368,1961.0,1050,10659,5,1050,1961,1961
1252,429,564,1960.0,1252,13500,6,1602,1960,1975
990,746,480,2000.0,990,8072,5,990,1994,1995
1078,49,240,1950.0,1078,9717,5,1078,1950,1996
976,568,444,1966.0,2087,12205,6,832,1966,2007
1429,594,572,1960.0,1429,14585,6,1144,1960,1987
1032,0,672,1999.0,1812,7630,5,360,1900,1996
1138,507,264,1958.0,1138,10482,6,588,1958,1958
1484,998,487,1971.0,1484,12243,5,1484,1971,1971
1557,0,420,2003.0,1557,3196,7,1374,2003,2004
1196,197,440,1957.0,1196,4800,4,1196,1916,1990
864,521,624,1964.0,864,9100,5,864,1958,1958
1056,480,260,1954.0,1056,9250,5,1056,1954,2005
1203,740,844,1994.0,2526,10120,8,1165,1994,1994
1145,16,397,2005.0,1145,3182,7,1145,2005,2006
1092,170,288,1962.0,1092,11616,5,1092,1962,1962
768,0,360,1910.0,1432,9600,5,264,1910,2002
1392,1040,458,1957.0,1392,11900,6,1392,1957,1957
728,0,390,2005.0,1456,8461,6,728,2005,2006
1053,806,312,1959.0,1053,10007,5,1053,1959,2006
1440,256,0,1979.0,3395,10896,6,1440,1914,1995
1287,72,576,1997.0,1287,9830,5,1063,1959,2006
778,403,924,1966.0,778,6900,5,740,1940,1955
525,0,264,1971.0,1092,1680,6,525,1971,1971
747,0,528,1953.0,747,5825,4,600,1926,1953
847,0,433,2003.0,1733,12394,7,847,2003,2003
1646,0,870,2007.0,1646,10656,8,1638,2006,2007
1518,1351,670,2003.0,2149,12822,7,1434,2003,2003
1582,812,390,1964.0,1582,36500,5,1624,1964,1964
916,216,424,1925.0,1742,17671,8,916,1882,1986
1040,633,648,1963.0,1040,25286,4,1064,1963,1963
912,456,275,1958.0,912,10150,5,912,1958,1958
1145,655,836,2000.0,2198,14260,8,1145,2000,2000
1680,0,528,1976.0,1680,11500,5,1680,1976,1976
1968,192,1014,1982.0,3447,14100,8,728,1935,1997
926,234,484,1974.0,1316,5500,5,926,1929,2001
990,0,621,1998.0,2601,9842,5,612,1921,1998
765,765,440,1970.0,1365,2368,5,765,1970,1970
1258,0,648,2007.0,1258,3922,7,1258,2006,2007
1574,24,824,2006.0,1574,11957,8,1574,2006,2006
1096,75,299,1969.0,1096,15870,5,1096,1969,1969
483,330,264,1973.0,987,1680,6,483,1973,1973
976,0,380,2004.0,1708,3363,7,976,2004,2004
1675,0,870,2003.0,3493,18386,7,1470,1880,2002
1080,427,492,1988.0,1752,12134,8,559,1988,2005
2036,1236,513,1965.0,2036,215245,7,2136,1965,1965
896,0,240,1936.0,1344,6240,5,896,1936,1950
576,349,288,1971.0,1109,10500,5,372,1971,2005
794,182,388,1997.0,1470,13869,6,794,1997,1997
952,852,840,1988.0,952,7350,5,952,1951,1951
1680,808,540,1988.0,1680,21695,6,880,1988,2007
1516,196,472,1964.0,1516,10004,6,1516,1964,1964
1734,1004,928,2007.0,1734,12085,8,1734,2007,2007
1502,368,528,1985.0,1502,6820,8,1488,1985,1985
764,567,474,2003.0,1626,2268,7,764,2003,2004
756,0,216,1906.0,1469,10320,6,756,1906,1995
1112,812,438,2007.0,1550,8125,7,1092,2006,2007
1368,0,474,2005.0,1368,6792,7,1368,2005,2006
1249,0,840,2006.0,2596,16259,9,1249,2006,2006
1339,504,294,1958.0,1339,7560,5,1029,1958,1965
1195,0,486,1998.0,1839,16770,7,1195,1998,1998
1132,0,691,2004.0,2452,13418,8,1117,2004,2005
807,0,393,2003.0,1509,7875,7,783,2003,2003
1434,20,527,2001.0,1434,8529,7,1454,2001,2001
1294,1200,496,1991.0,1294,7153,6,1278,1991,1991
840,0,308,1960.0,1680,15576,6,840,1915,1976
936,814,471,1994.0,1721,8462,6,928,1994,1994
864,600,576,1980.0,864,12735,4,864,1972,1972
757,549,440,1999.0,1501,2280,7,744,1999,1999
1422,0,560,1945.0,2337,13600,5,662,1900,1950
1872,929,604,1988.0,1872,10400,7,1845,1988,1988
1530,1300,630,2004.0,1530,14572,7,1530,2004,2004
742,0,0,1979.0,1484,6300,6,742,1914,2001
630,515,286,1970.0,630,1526,4,630,1970,2002
1200,0,312,1923.0,1200,11340,6,1200,1923,1950
1542,896,619,1977.0,2872,12227,6,1330,1977,1995
1445,564,645,1964.0,1445,12095,6,1127,1964,1964
1116,0,440,1962.0,1116,10000,6,1116,1962,1962
1190,828,577,1984.0,2090,5062,7,1190,1984,1984
943,943,600,1979.0,943,7032,5,943,1979,1979
1160,264,216,1925.0,1608,6171,6,976,1925,1990
1296,0,516,1967.0,1296,10791,4,0,1967,1967
840,116,0,1979.0,840,4388,5,672,1930,1950
1098,552,486,1968.0,1978,9900,7,832,1968,1968
999,867,588,1961.0,999,12122,7,944,1961,2007
958,958,440,1976.0,958,4928,6,958,1976,1976
1549,297,440,1932.0,2727,10570,8,853,1932,1994
1167,645,495,1972.0,1167,8731,5,915,1920,1950
1020,536,440,1964.0,1851,9760,6,822,1964,1993
1252,0,528,1960.0,1252,10721,6,1252,1959,1959
672,0,0,1979.0,912,6240,4,0,1947,1950
1040,732,576,2000.0,1040,12464,5,1040,1996,1996
769,436,440,2000.0,1525,2117,6,756,2000,2000
1210,281,683,1998.0,2452,16226,8,1028,1998,1999
3228,1231,546,1992.0,3228,12692,8,3200,1992,1993
1166,655,400,2005.0,1166,9587,7,856,2005,2005
1168,196,315,1949.0,1846,10496,6,1040,1949,1950
1074,788,495,1975.0,1074,10140,5,1056,1975,1975
1277,0,889,1996.0,2344,10208,7,1264,1996,1997
893,220,576,1985.0,893,9600,5,845,1949,2003
1493,994,508,1997.0,1493,13125,6,1478,1997,1998
774,0,680,2009.0,1968,12003,8,774,2009,2010
1004,578,480,1970.0,1004,11241,6,1004,1970,1970
1002,0,280,1954.0,1456,7585,5,810,1948,1950
915,300,440,1950.0,1635,8737,6,1065,1923,1950
912,0,330,1948.0,1458,17503,6,912,1948,1950
1224,883,402,1999.0,1224,4500,6,1224,1999,1999
1506,16,440,2005.0,1506,3013,7,1362,2005,2005
2136,756,528,1951.0,2136,10680,5,2136,1951,1951
696,604,484,1999.0,1416,2572,7,696,1999,1999
2633,1282,804,2001.0,2633,11400,10,2633,2001,2002
1468,0,898,2008.0,1468,9612,8,1468,2008,2009
773,570,240,1953.0,773,7677,5,773,1953,1953
630,0,280,1991.0,1302,1680,5,630,1971,1971
900,234,576,2005.0,900,7200,5,900,1951,2000
904,0,180,1926.0,904,6000,6,884,1926,2004
1844,1110,540,1969.0,1844,16381,6,1844,1969,1969
1555,16,430,2005.0,1555,3182,7,1373,2005,2006
1297,1213,498,1954.0,1297,8532,5,1297,1954,1990
1088,0,240,1945.0,1529,8405,4,0,1945,1950
1733,0,452,1955.0,1733,13680,3,0,1955,1955
832,426,506,1993.0,1710,9291,6,832,1993,1993
1140,0,477,1984.0,1868,12090,6,585,1984,2003
1126,936,484,1977.0,1126,17400,5,1126,1977,1977
551,239,480,2004.0,1102,5105,7,551,2004,2004
1172,0,342,1929.0,1913,7558,6,896,1928,1950
1567,1154,648,2006.0,1567,3982,8,1520,2006,2006
1050,504,338,1956.0,1050,9600,5,1050,1956,1956
1580,0,830,2008.0,1580,11932,8,1580,2007,2008
1314,936,552,2009.0,1314,8640,8,1300,2009,2009
1584,493,520,1920.0,2792,10440,6,1510,1920,1950
616,462,603,1997.0,1688,12798,6,616,1997,1997
1232,660,516,1984.0,1232,11120,6,1232,1984,1984
561,285,462,1980.0,1229,1300,6,561,1980,1980
1014,440,420,1920.0,1699,10615,3,978,1900,1970
936,0,576,1974.0,936,6000,4,936,1953,1953
847,0,434,2004.0,1948,12393,7,847,2004,2005
1462,1170,738,2004.0,2224,8834,9,1462,2004,2005
1001,284,871,1949.0,2002,6270,5,1001,1949,1950
1097,416,495,1971.0,1993,14803,6,825,1971,1971
920,700,492,2002.0,1861,13450,7,916,2002,2002
1041,991,270,1959.0,1041,9600,5,1041,1959,1959
986,0,180,1926.0,986,6180,6,960,1926,1950
1405,0,478,2003.0,1405,3136,7,1405,2003,2003
1226,0,740,2009.0,1226,10402,7,1226,2009,2009
838,210,275,1961.0,838,10267,6,816,1918,2000
864,203,200,1938.0,864,8212,3,864,1914,1950
1006,288,0,1979.0,1006,9000,5,1006,1959,1959
1842,1810,894,1981.0,1842,50271,9,1842,1981,1987
1710,1400,866,2007.0,1710,13891,8,1710,2007,2008
1165,0,420,1998.0,2263,12090,8,1141,1998,1998
1246,0,560,1971.0,2290,11340,4,777,1885,1950
1100,419,312,1960.0,1100,12493,4,1100,1960,1960
2117,865,550,1970.0,2117,12925,6,1205,1970,1970
960,0,288,1956.0,960,8926,4,672,1956,1956
1022,0,468,1931.0,1774,6120,7,952,1931,1950
1082,336,240,1948.0,1082,11664,6,1082,1948,1950
1122,144,528,1948.0,1122,12000,5,924,1948,2005
1338,616,582,2001.0,1338,4920,8,1338,2001,2001
888,742,422,1996.0,1756,9303,6,872,1996,1997
1302,270,309,1964.0,1302,9350,6,1302,1964,1991
951,285,327,1936.0,951,8765,4,951,1936,1950
483,309,264,1973.0,987,1953,6,483,1973,1973
1090,980,450,2005.0,1090,7024,5,1090,2005,2006
984,408,660,1977.0,1604,10998,5,984,1941,1960
756,420,440,2000.0,1512,2117,6,756,2000,2000
972,0,312,1939.0,1577,6435,6,972,1939,1950
1516,125,518,1974.0,2167,17542,7,1192,1974,2003
1212,506,492,1978.0,1212,8471,6,506,1977,1995
969,716,440,1975.0,969,10356,5,969,1975,1975
1072,459,525,2005.0,1072,3675,6,547,2005,2005
1518,1218,588,2003.0,1518,12677,8,1518,2003,2004
1188,593,312,1962.0,1188,26142,5,1188,1962,1962
1026,0,936,2005.0,1958,10625,7,1026,2005,2005
1069,559,440,1977.0,1069,4043,6,1069,1977,1977
1788,0,522,2001.0,1788,11838,8,1753,2001,2001
1766,664,520,1970.0,2414,10800,5,954,1900,1970
720,0,287,1955.0,720,6627,3,0,1949,1950
1261,662,433,1958.0,1261,9120,6,1261,1958,1958
875,209,180,1931.0,875,6120,5,715,1931,1993
672,0,240,1940.0,672,10200,5,672,1940,1997
980,945,0,1979.0,980,9400,6,945,1975,1975
694,0,936,1998.0,1214,10410,3,672,1915,1950
1486,637,480,1968.0,1486,9937,5,1486,1964,1999
849,326,240,1939.0,1660,11988,6,715,1934,1995
1217,611,497,1990.0,1217,9947,7,1188,1990,1991
860,275,234,1941.0,1564,12000,7,704,1941,1950
788,724,388,2004.0,1490,15384,7,788,2004,2005
1940,428,380,1934.0,3194,12168,8,965,1934,1998
1501,679,577,1999.0,1501,10335,7,1490,1999,1999
660,0,400,2003.0,1320,7750,7,660,2003,2003
1276,854,676,1998.0,2612,12203,8,1225,1998,1999
1360,1036,795,1918.0,3112,25419,8,1360,1918,1990
954,0,440,1997.0,2230,6204,4,795,1912,1950
1156,392,505,1977.0,2022,10005,7,1160,1977,1977
1468,795,539,1977.0,2263,16659,7,795,1977,1994
955,0,462,1998.0,1632,9084,7,935,1998,1998
1288,786,500,1996.0,1288,14963,8,1260,1996,1996
1080,570,288,1958.0,1080,9464,6,1080,1958,1958
1700,340,544,2003.0,1700,9135,6,1682,2003,2003
865,617,398,1924.0,1310,7000,6,617,1924,1950
1067,442,436,1996.0,1067,9600,4,1067,1950,1995
908,0,440,1910.0,1928,9142,6,1020,1910,1950
1392,790,564,1978.0,2784,16692,7,1392,1978,1978
1108,975,583,1998.0,2097,9750,7,1108,1998,1998
816,538,432,2002.0,816,5890,6,816,1930,2007
1079,985,501,1992.0,1953,53107,6,1580,1992,1992
1659,1158,499,2000.0,1659,5664,8,1501,2000,2000
1779,306,454,1955.0,1779,17920,5,1763,1955,1974
1248,16,438,2005.0,1248,3010,7,1248,2005,2006
1057,738,650,2001.0,1929,7050,7,1057,2001,2001
1262,978,460,1976.0,1262,9600,6,1262,1976,1976
1282,984,792,2007.0,2696,9965,7,1264,2007,2007
894,553,336,1973.0,894,8450,5,894,1965,2009
1221,0,672,2003.0,1912,10800,6,482,1905,2000
